SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,LATITUDE,LONGITUDE
February-7-2018,Single Family Residential,11 Worthington Rd,Brookline,MA,2446,2900000,5,4.5,Cottage Farm,4601,10875,1936,22,630,,Sold,http://www.redfin.com/MA/Brookline/11-Worthington-Rd-02446/home/11442102,MLS PIN,72230767,42.3490241,-71.1119168
June-20-2017,Single Family Residential,14 Belmore Park,Newton,MA,2462,1380000,5,4.5,Newton,3956,10141,2017,254,349,,Sold,http://www.redfin.com/MA/Newton/14-Belmore-Park-02462/home/11438167,MLS PIN,72128322,42.3296319,-71.2511373
April-24-2017,Single Family Residential,65 Longfellow,Newton,MA,2462,1047500,4,3,Newton,3075,12769,1949,311,341,,Sold,http://www.redfin.com/MA/Newton/65-Longfellow-Rd-02462/home/11455647,MLS PIN,72121580,42.3317372,-71.2433198
,Single Family Residential,152 Waban Ave,Waban,MA,2468,1400000,6,3.5,,2940,13635,1890,,476,,,http://www.redfin.com/MA/Waban/152-Waban-Ave-02468/home/11457445,,,42.323925,-71.237309
May-31-2017,Single Family Residential,1 Dearborn St,Wellesley,MA,2481,1090000,4,2.5,Wellesley Hills,3262,27325,2002,274,334,,Sold,http://www.redfin.com/MA/Wellesley-Hills/1-Dearborn-St-02481/home/11724368,MLS PIN,72117490,42.3158317,-71.2389987
June-30-2017,Single Family Residential,38 Whittier Rd,Wellesley,MA,2481,1900000,4,3.5,Poet's,3547,13988,1929,244,536,,Sold,http://www.redfin.com/MA/Wellesley-Hills/38-Whittier-Rd-02481/home/11724532,MLS PIN,72131202,42.3187775,-71.2595099
August-14-2017,Single Family Residential,45 Fairbanks Ave,Wellesley,MA,2481,1976500,4,4.5,Poet's Corner,4065,22383,1925,199,486,,Sold,http://www.redfin.com/MA/Wellesley-Hills/45-Fairbanks-Ave-02481/home/8966779,MLS PIN,72146649,42.3204396,-71.2599971
December-26-2017,Single Family Residential,72 Standish Rd,Wellesley,MA,2481,1637500,4,4,Standish Estates,4978,15020,1947,65,329,,Sold,http://www.redfin.com/MA/Wellesley-Hills/72-Standish-Rd-02481/home/8967831,MLS PIN,72223765,42.3092818,-71.2576537
August-28-2017,Single Family Residential,61 Windsor Rd,Wellesley,MA,2481,1925000,5,5.5,Country Club,4665,12800,1930,185,413,,Sold,http://www.redfin.com/MA/Wellesley-Hills/61-Windsor-Rd-02481/home/11724667,MLS PIN,72195258,42.3045942,-71.2624797
February-8-2018,Single Family Residential,10 Pine St,Wellesley,MA,2481,1600000,4,3.5,Farms,3750,13875,1929,21,427,,Sold,http://www.redfin.com/MA/Wellesley-Hills/10-Pine-St-02481/home/11724740,MLS PIN,72244666,42.3183723,-71.2676769
August-24-2017,Single Family Residential,48 Livermore Rd,Wellesley,MA,2481,1750000,5,4,Wellesley,4161,18761,1910,189,421,,Sold,http://www.redfin.com/MA/Wellesley-Hills/48-Livermore-Rd-02481/home/11724799,MLS PIN,72155683,42.3052116,-71.2703219
October-3-2017,Single Family Residential,35 Hundreds Rd,Wellesley,MA,2482,2925000,5,4.5,Farms,4925,23505,2014,149,594,,Sold,http://www.redfin.com/MA/Wellesley-Hills/35-Hundreds-Rd-02481/home/8972008,MLS PIN,72116313,42.321566,-71.2733845
November-30-2017,Single Family Residential,38 Maugus Ave,Wellesley,MA,2481,2150000,4,5,Wellesley,3937,58515,1930,91,546,,Sold,http://www.redfin.com/MA/Wellesley/38-Maugus-Ave-02481/home/8972385,MLS PIN,72226657,42.3102551,-71.2714997
December-20-2017,Single Family Residential,50 Maugus Hill Rd,Wellesley,MA,2481,1731500,5,4,Wellesley,3123,22674,1959,71,554,,Sold,http://www.redfin.com/MA/Wellesley-Hills/50-Maugus-Hill-Rd-02481/home/8972416,MLS PIN,72238297,42.3114196,-71.2706917
June-29-2017,Single Family Residential,12 Arlington Rd,Wellesley,MA,2481,1480000,4,3.5,Country Club,3042,13904,1913,245,487,,Sold,http://www.redfin.com/MA/Wellesley-Hills/12-Arlington-Rd-02481/home/8973019,MLS PIN,72148103,42.3051021,-71.2723172
August-8-2017,Single Family Residential,184 Wellesley Ave,Wellesley,MA,2481,1385000,3,3.5,Wellesley,2936,12676,1938,205,472,,Sold,http://www.redfin.com/MA/Wellesley-Hills/184-Wellesley-Ave-02481/home/11724922,MLS PIN,72164239,42.300456,-71.2725492
November-30-2017,Single Family Residential,22 Park Ave,Wellesley,MA,2481,1525000,5,3.5,Country Club,3553,17194,1935,91,429,,Sold,http://www.redfin.com/MA/Wellesley-Hills/22-Park-Ave-02481/home/8975033,MLS PIN,72225617,42.3030063,-71.2751013
September-15-2017,Single Family Residential,77 Cliff Rd,Wellesley,MA,2481,2656250,5,6,Cliff Estates,7200,24513,1926,167,369,,Sold,http://www.redfin.com/MA/Wellesley-Hills/77-Cliff-Rd-02481/home/8976149,MLS PIN,72122518,42.3170498,-71.2826416
June-16-2017,Single Family Residential,21 Fox Hill Rd,Wellesley,MA,2481,1660000,4,2.5,Cliff Estates,3150,27483,1942,258,527,,Sold,http://www.redfin.com/MA/Wellesley-Hills/21-Fox-Hill-Rd-02481/home/8979551,MLS PIN,72124761,42.3096912,-71.2865161
,Single Family Residential,51 Atwood St,Wellesley,MA,2482,1425000,4,4,,2420,9645,1924,,589,,,http://www.redfin.com/MA/Wellesley/51-Atwood-St-02482/home/8980180,,,42.3008569,-71.2857273
April-14-2017,Single Family Residential,92 Old Colony Rd,Wellesley,MA,2481,2702500,6,4.5,Cliff Estates,5694,22412,1937,321,475,,Sold,http://www.redfin.com/MA/Wellesley-Hills/92-Old-Colony-Rd-02481/home/8981983,MLS PIN,72068944,42.3143579,-71.2905993
August-9-2017,Single Family Residential,40 Oakridge Rd,Wellesley,MA,2481,1875000,5,4.5,Wellesley,5500,24836,1955,204,341,,Sold,http://www.redfin.com/MA/Wellesley-Hills/40-Oakridge-Rd-02481/home/11498746,MLS PIN,72176645,42.3069582,-71.2995313
July-11-2017,Single Family Residential,28 Sturbridge Rd,Wellesley,MA,2481,1490000,4,2.5,Pierce Estates,2912,26790,1962,233,512,,Sold,http://www.redfin.com/MA/Wellesley-Hills/28-Sturbridge-Rd-02481/home/11725888,MLS PIN,72124958,42.3164357,-71.3044728
July-14-2017,Single Family Residential,241 Bristol Rd,Wellesley,MA,2481,3220000,5,7,Cliff-Abbott,7200,26901,2016,230,447,,Sold,http://www.redfin.com/MA/Wellesley-Hills/241-Bristol-Rd-02481/home/8990176,MLS PIN,71968254,42.3113913,-71.3023384
August-18-2017,Single Family Residential,83 Westgate Rd,Wellesley,MA,2481,1285000,4,2.5,Wellesley,3026,20571,1964,195,425,,Sold,http://www.redfin.com/MA/Wellesley-Hills/83-Westgate-02481/home/8990356,MLS PIN,72154625,42.3097704,-71.3041944
October-31-2017,Single Family Residential,15 Lilac Cir,Wellesley,MA,2482,1335000,6,3.5,College Heights,3277,14827,1981,121,407,,Sold,http://www.redfin.com/MA/Wellesley/15-Lilac-Cir-02482/home/8990982,MLS PIN,72228458,42.3045416,-71.3014105
February-5-2018,Single Family Residential,31 Avon Rd,Wellesley,MA,2482,1100000,3,2.5,College Heights,1710,6735,1932,24,643,,Sold,http://www.redfin.com/MA/Wellesley/31-Avon-Rd-02482/home/8991424,MLS PIN,72260503,42.3007047,-71.3033592
,Single Family Residential,1 Ingersoll Rd,Wellesley Hills,MA,2481,1899000,4,5.5,,3668,12665,2017,,518,,,http://www.redfin.com/MA/Wellesley-Hills/1-Ingersoll-Rd-02481/home/8994584,,,42.3097105,-71.312836
October-20-2017,Single Family Residential,7 Bryn Mawr Rd,Wellesley,MA,2482,1847625,5,4.5,Wellesley,4710,9995,2017,132,392,,Sold,http://www.redfin.com/MA/Wellesley/7-Bryn-Mawr-Rd-02482/home/8996333,MLS PIN,72120433,42.3101844,-71.3171974
August-3-2017,Single Family Residential,27 Boulder Brook Rd,Wellesley,MA,2481,1600000,4,2.5,Wellesley,3771,10387,1941,210,424,,Sold,http://www.redfin.com/MA/Wellesley-Hills/27-Boulder-Brook-Rd-02481/home/8996683,MLS PIN,72166790,42.3130924,-71.3139844
September-22-2017,Single Family Residential,4 Ingersoll Rd,Wellesley,MA,2481,1810000,4,4.5,Wellesley Hills,4480,14992,2017,160,404,,Sold,http://www.redfin.com/MA/Wellesley-Hills/4-Ingersoll-Rd-02481/home/11498916,MLS PIN,72170934,42.3098008,-71.3134276
September-1-2017,Single Family Residential,44 Shirley Rd,Wellesley,MA,2482,1600000,5,4.5,Wellesley,4537,10560,2006,181,353,,Sold,http://www.redfin.com/MA/Wellesley/44-Shirley-Rd-02482/home/8998697,MLS PIN,72152963,42.3067406,-71.3185545
December-26-2017,Single Family Residential,528 Glen Rd,Weston,MA,2493,1100000,4,3,Weston,3372,97897,1946,65,326,,Sold,http://www.redfin.com/MA/Weston/528-Glen-Rd-02493/home/8790536,MLS PIN,72240053,42.3311271,-71.3062823
January-19-2018,Single Family Residential,44 Falmouth,Weston,MA,2493,4500000,5,7,Weston,8500,61419,2017,41,529,,Sold,http://www.redfin.com/MA/Weston/44-Falmouth-Rd-02493/home/8792502,MLS PIN,72136556,42.320937,-71.3002969
