id	name	year	rating	runtime	genre	earnings_rank
133152	Planet of the Apes	2001	PG13	119	A,S	154
479952	Madagascar: Escape 2 Africa	2008	PG	89	A,V,N,C,F	155
458525	X-Men Origins: Wolverine	2009	PG13	107	A,Y,S,T	156
87469	Indiana Jones and the Temple of Doom	1984	PG	118	A,V	157
1409024	Men in Black 3	2012	PG13	106	A	158
100405	Pretty Woman	1990	R	119	C,R	159
386588	Hitch	2005	PG13	118	C,R	160
1078912	Night at the Museum: Battle of the Smithsonian	2009	PG	105	A,V,C,F,Y	161
84805	Tootsie	1982	PG	119	C,R	162
92099	Top Gun	1986	PG	110	A,D,R	163
1318514	Rise of the Planet of the Apes	2011	PG13	105	A,D,S,T	164
458339	Captain America: The First Avenger	2011	PG13	124	A,V,S,T	165
338348	The Polar Express	2004	G	99	V,N,F,Y	166
1155076	The Karate Kid	2010	PG	140	A,D,F	167
129387	There's Something About Mary	1998	R	119	C,R	168
268380	Ice Age	2002	PG	81	V,N,C,F	169
372183	The Bourne Supremacy	2004	PG13	108	A,V,D,M,T	170
90555	Crocodile Dundee	1986	PG13	98	V,C	171
104431	Home Alone 2: Lost in New York	1992	PG	120	C,F	172
319343	Elf	2003	PG	95	C,F,Y	173
368891	National Treasure	2004	PG	131	A,V	174
95953	Rain Man	1988	R	133	C,D	175
118571	Air Force One	1997	R	124	A,D,T	176
112384	Apollo 13	1995	PG	140	D	177
1104001	TRON: Legacy	2010	PG	127	A,V,S,T	178
133093	Matrix, The	1999	R	136	A,S,T	179
101414	Beauty and the Beast	1991	G	84	N,F,L,R	180
120855	Tarzan	1999	G	88	V,N,F	181
1403865	True Grit	2010	PG13	110	V,D,E	182
268978	Beautiful Mind, A	2001	PG13	135	D,H,M	183
299658	Chicago	2002	PG13	113	C,D,L	184
1454029	The Help	2011	PG13	146	D	185
1478338	Bridesmaids	2011	R	125	C	186
830515	Quantum of Solace	2008	PG13	106	A,V,T	187
486946	Wild Hogs	2007	PG13	100	A,V,C	188
94137	Three Men and a Baby	1987	PG	102	C,F	189
381061	Casino Royale	2006	PG13	144	A,V,T	190
212338	Meet the Parents	2000	PG13	108	C	191
1190080	2012	2009	PG13	158	A,V,D,S,T	192
102798	Robin Hood: Prince of Thieves	1991	PG13	143	A,V,D	193
1302011	Kung Fu Panda 2	2011	PG	91	A,V,N,C,F	194
212985	Hannibal	2001	R	131	H,T	195
264464	Catch Me If You Can	2002	PG13	141	D,T	196
1041829	The Proposal	2009	PG13	108	C,D,R	197
142342	Big Daddy	1999	PG13	93	C	198
59742	Sound of Music, The	1965	G	174	D,F,L	199
800320	Clash of the Titans	2010	PG13	106	A,V,D,Y	200
1655442	The Artist	2012	PG13	100	C	\N
1007029	The Iron Lady	2012	PG13	105	D	\N
1532503	Beginners	2011	R	105	C	\N
947798	Black Swan	2010	R	108	D,M,T	\N
1263670	Crazy Heart	2010	R	112	D,R	\N
1375670	Grown Ups	2010	PG13	102	C	\N
964517	The Fighter	2010	R	116	D	\N
1504320	The King's Speech	2010	R	118	D	\N
